"manufacturers","product_types","cell_types","model_codes","capacity_ah","energy_wh","production_date","production_city","factory_product_line","factory_task_order","number_of_cell_produced_that_day","original_qr_content","note"
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","11/5/2024","Jingmen","G6","07","6679","04QCB76G60703JE5B0006679",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","10/5/2024","Jingmen","G6","05","6881","04QCB76G60503JE5A0006881",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1058","04QCB76G43803JE5C0001058",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G5","98","8444","04QCB76G59803JE5C0008444",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G5","98","8091","04QCB76G59803JE5C0008091",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G5","98","8099","04QCB76G59803JE5C0008099",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1372","04QCB76G43803JE5C0001372",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","10","10909","04QCB76G41003JE5C0010909",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","10","10949","04QCB76G41003JE5C0010949",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","10","10947","04QCB76G41003JE5C0010947",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1544","04QCB76G43803JE5C0001544",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1625","04QCB76G43803JE5C0001625",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1547","04QCB76G43803JE5C0001547",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","12/5/2024","Jingmen","G4","38","1525","04QCB76G43803JE5C0001525",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","5/14/2028","Ningde","G4","10","0","04QCB76G410003JE5C00010946",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","11/5/2024","Jingmen","G5","07","4390","04QCB76G50703JE5B0004390",""
"EVE Power","Cell","LiFePO4","LF280K","280.0","896.0","5/14/2028","Ningde","G4","38","0","04QCB76G438003JE5C00001225",""
